winner;from;to
00002000;579828;579946
00002000;580286;580404
00002000;580744;580862
00002000;581202;581320
00002000;581660;581777
00002000;582118;582234
00002000;582576;582691
00002000;583034;583148
00002000;583492;583605
00002000;583950;584062
00002000;584408;584519
00002000;584866;584976
00002000;585324;585433
00002000;585782;585890
00002000;586240;586347
00002000;586698;586804
00002000;587156;587261
00002000;587614;587718
00002000;588072;588175
00002000;588530;588632
00002000;588988;589089
00002000;589446;589546
00002000;589904;590003
00002000;590362;590460
00002000;590820;590917
00002000;591278;591374
00002000;591736;591831
00002000;592194;592288
00002000;592652;592745
00002000;593110;593202
00002000;593568;593659
00002000;594026;594116
00002000;594484;594573
00002000;594942;595030
00002000;595400;595487
00002000;595858;595944
00002000;596316;596401
00002000;596774;596858
00002000;597232;597315
00002000;597690;597772
00002000;598148;598229
00002000;598606;598686
00002000;599064;599144
00002000;599522;599602
00002000;599980;600060
00002000;600438;600518
00002000;600896;600976
00002000;601354;601434
00002000;601812;601892
00002000;602270;602350
00002000;602728;602808
00002000;603186;603266
00002000;603644;603724
00002000;604102;604182
00002000;604560;604640
00002000;605018;605098
00002000;605476;605556
00002000;605934;606014
00002000;606392;606472
00002000;606850;606930
00002000;607308;607388
00002000;607766;607846
00002000;608224;608304
00002000;608682;608762
00002000;609140;609220
00002000;609598;609678
00002000;610056;610136
00002000;610514;610594
00002000;610972;611052
00002000;611430;611510
00002000;611888;611968
00002000;612346;612426
00002000;612804;612884
00002000;613262;613342
00002000;613720;613800
00002000;614178;614258
00002000;614636;614734
00002000;615094;615193
00002000;615552;615652
00002000;616010;616111
00002000;616468;616570
00002000;616926;617029
00002000;617384;617488
00002000;617842;617947
00002000;618300;618406
00002000;618758;618865
00002000;619216;619324
00002000;619674;619783
00002000;620132;620242
00002000;620590;620701
00002000;621048;621160
00002000;621506;621619
00002000;621964;622078
00002000;622422;622537
00002000;622880;622996
00002000;623338;623455
00002000;623796;623914
00002000;624254;624373
00002000;624712;624831
00002000;625170;625289
00002000;625628;625747
00002000;626086;626205
00002000;626544;626663
00002000;627002;627121
00002000;627460;627579
00002000;627918;628037
00002000;628376;628495
00002000;628834;628953
00002000;629292;629411
00002000;629750;629869
00002000;630208;630327
00002000;630666;630785
00002000;631124;631243
00002000;631582;631701
00002000;632040;632159
00002000;632498;632617
00002000;632956;633075
00002000;633414;633533
00002000;633872;633991
00002000;634330;634449
00002000;634788;634907
00002000;635246;635365
00002000;635704;635823
00002000;636162;636281
00002000;636620;636739
00002000;637078;637197
00002000;637536;637654
00002000;637994;638111
00002000;638452;638568
00002000;638910;639025
